1271,84.1,13,,,,,,,,,,,,,,,,,,,,,
1433,74.34,15,,,,,,,,,,,,,,,,,,,,,
1192,67.43,15,,,,,,,,,,,,,,,,,,,,,
1225,65.12,15,,,,,,,,,,,,,,,,,,,,,
1384,59.50,9,,,,,,,,,,,,,,,,,,,,,
1042,58.26,14,,,,,,,,,,,,,,,,,,,,,
1178,56.18,9,,,,,,,,,,,,,,,,,,,,,
1473,55.27,15,,,,,,,,,,,,,,,,,,,,,
1221,52.48,15,,,,,,,,,,,,,,,,,,,,,
1229,51.47,14,,,,,,,,,,,,,,,,,,,,,
1208,51.33,15,,,,,,,,,,,,,,,,,,,,,
1165,49.50,15,,,,,,,,,,,,,,,,,,,,,
1065,49.37,15,,,,,,,,,,,,,,,,,,,,,
1047,47.44,15,,,,,,,,,,,,,,,,,,,,,
1458,47.41,15,,,,,,,,,,,,,,,,,,,,,
1194,47.09,10,,,,,,,,,,,,,,,,,,,,,
1205,46.59,15,,,,,,,,,,,,,,,,,,,,,
1270,46.53,15,,,,,,,,,,,,,,,,,,,,,
1407,46.43,12,,,,,,,,,,,,,,,,,,,,,
1294,45.44,15,,,,,,,,,,,,,,,,,,,,,
1054,45.34,15,,,,,,,,,,,,,,,,,,,,,
1230,45.05,14,,,,,,,,,,,,,,,,,,,,,
1281,43.26,15,,,,,,,,,,,,,,,,,,,,,
1259,43.20,15,,,,,,,,,,,,,,,,,,,,,
1244,43.12,15,,,,,,,,,,,,,,,,,,,,,
1385,43.07,15,,,,,,,,,,,,,,,,,,,,,
1422,42.49,15,,,,,,,,,,,,,,,,,,,,,
1078,42.32,14,,,,,,,,,,,,,,,,,,,,,
1484,42.22,15,,,,,,,,,,,,,,,,,,,,,
1268,42.09,15,,,,,,,,,,,,,,,,,,,,,
1200,42.05,15,,,,,,,,,,,,,,,,,,,,,
1286,42.04,15,,,,,,,,,,,,,,,,,,,,,
1331,42.03,15,,,,,,,,,,,,,,,,,,,,,
1195,41.55,14,,,,,,,,,,,,,,,,,,,,,
1477,41.32,15,,,,,,,,,,,,,,,,,,,,,
1051,41.27,15,,,,,,,,,,,,,,,,,,,,,
1309,40.34,14,,,,,,,,,,,,,,,,,,,,,
1079,40.32,15,,,,,,,,,,,,,,,,,,,,,
1203,40.23,15,,,,,,,,,,,,,,,,,,,,,
1339,40.03,15,,,,,,,,,,,,,,,,,,,,,
1144,39.30,15,,,,,,,,,,,,,,,,,,,,,
1295,39.19,14,,,,,,,,,,,,,,,,,,,,,
1319,39.18,15,,,,,,,,,,,,,,,,,,,,,
1496,39.14,15,,,,,,,,,,,,,,,,,,,,,
1256,39.13,14,,,,,,,,,,,,,,,,,,,,,
1043,39.11,15,,,,,,,,,,,,,,,,,,,,,
1156,39.10,15,,,,,,,,,,,,,,,,,,,,,
1213,38.59,15,,,,,,,,,,,,,,,,,,,,,
1118,38.27,14,,,,,,,,,,,,,,,,,,,,,
1283,37.57,15,,,,,,,,,,,,,,,,,,,,,
1181,37.48,15,,,,,,,,,,,,,,,,,,,,,
1361,37.16,14,,,,,,,,,,,,,,,,,,,,,
1096,37.04,15,,,,,,,,,,,,,,,,,,,,,
1237,37.02,8,,,,,,,,,,,,,,,,,,,,,
1168,36.35,14,,,,,,,,,,,,,,,,,,,,,
1355,36.14,15,,,,,,,,,,,,,,,,,,,,,
1212,36.11,14,,,,,,,,,,,,,,,,,,,,,
1453,36.06,15,,,,,,,,,,,,,,,,,,,,,
1258,35.55,15,,,,,,,,,,,,,,,,,,,,,
1432,35.54,15,,,,,,,,,,,,,,,,,,,,,
1128,35.46,15,,,,,,,,,,,,,,,,,,,,,
1059,35.11,15,,,,,,,,,,,,,,,,,,,,,
1390,34.51,15,,,,,,,,,,,,,,,,,,,,,
1479,34.49,15,,,,,,,,,,,,,,,,,,,,,
1250,34.48,15,,,,,,,,,,,,,,,,,,,,,
1134,34.45,12,,,,,,,,,,,,,,,,,,,,,
1399,34.38,15,,,,,,,,,,,,,,,,,,,,,
1030,34.28,15,,,,,,,,,,,,,,,,,,,,,
