1106,141.51,Course A,JenL,
1478,142.23,Course A,Ken Walker Jr.,
1205,148.13,Course A,Sebastian Schmetzke,
1412,149.11,Course A,Mick Farrell,
1491,149.50,Course A,Tengfei han,
1295,150.17,Course A,Asja,
1172,152.09,Course A,William Ivory,
1053,153.23,Course A,Wannes28,
1069,155.28,Course A,,
1425,155.51,Course A,Veli-Matti Ylönen/Velkku,
1242,156.15,Course A,XianChengbin,
1492,161.29,Course A,Bastian,
1504,161.30,Course A,HTinC,
1292,161.52,Course A,erny,
1208,162.40,Course A,raphael combe,
1051,165.43,Course A,Calum Robertson,
1344,166.57,Course A,Ken,
1213,178.38,Course A,Dalguise_Alistair,
1099,201.03,Course A,JamesLaird,
1079,201.41,Course A,Don Coyote,
1145,210.12,Course A,Robert King,
1333,211.22,Course A,Judy,
1093,216.04,Course A,Ken Walker Jnr,
1398,222.52,Course A,Stanimira Dimitrova,
1494,240.43,Course A,Anita Forestier,
1366,248.05,Course A,Mallard,
1142,267.11,Course A,Mike S,
1144,269.18,Course A,LindseyK,
1309,278.56,Course A,Nicola_Melville,
1353,287.31,Course A,Ken Walker Jnr CSU,
1042,294.25,Course A,AlisonMatheson,
1355,337.02,Course A,Gabriella14,
1330,31.04,Course B,Felix Bäckstäde,
1048,32.24,Course B,ken Walker Jr.,
1003,32.41,Course B,Davros Flatley,
1125,35.06,Course B,Nicolas Constant,
1040,37.20,Course B,SandraM,
1310,40.53,Course B,1310 - Andrew Twigg,
1123,41.22,Course B,Ken Walker Jr,
1090,46.23,Course B,Rebecca McCreadie,
1449,48.03,Course B,Mitch981,
1342,48.31,Course B,Tonikkonik,
1347,51.15,Course B,Ken,
1064,51.38,Course B,Fiona Hendrie,
1281,56.23,Course B,Lisa,
1339,57.10,Course B,jjcc,
1369,59.14,Course B,Megan White,
1396,61.09,Course B,Fjellbukken,
1208,63.11,Course B,raphael combe,
1197,73.22,Course B,Adam Methven,
1181,87.25,Course B,tomaso del burgo,
1259,88.10,Course B,oscarowe,
1446,89.27,Course B,Roberto Larotella,
1484,90.46,Course B,EskM,
1062,98.59,Course B,John Blatherwick,
1479,101.04,Course B,andrews,
1500,249.05,Course B,Ceci  ,
1394,12.27,Course C,Luca Liba,
1330,12.43,Course C,Felix Bäckstäde,
1123,12.59,Course C,Ken Walker Jr,
1140,13.44,Course C,Ken Walker JR,
1072,15.47,Course C,jac,
1124,16.43,Course C,Ken Walker jr,
1387,18.12,Course C,EJR,
1090,18.14,Course C,Rebecca McCreadie,
1298,20.21,Course C,Elin Erne,
1096,23.10,Course C,Rona Laird,
1247,25.51,Course C,samantha_w,
1219,26.25,Course C,HelenC,
1078,26.31,Course C,bec_kigray,
1173,27.37,Course C,KatherineIvory,
1154,30.52,Course C,Rebecca Hammond,
1091,32.20,Course C,Matthew McCreadie,
1450,33.25,Course C,JanetteMcHendry,
1432,37.34,Course C,n/a,
1467,37.38,Course C,Beatrice Law,
1345,39.04,Course C,Ken,
1417,43.07,Course C,,
1359,44.00,Course C,Richard_H,
1136,44.05,Course C,iainwp,
1376,51.15,Course C,JennyMae,
1152,82.18,Course C,Jenny Hammond,
1216,86.23,Course C,Troy,
